,site_number,parameter_code,latitude,longitude,datum,parameter,sample_duration,date_local,units_of_measure,arithmetic_mean,aqi
42,0002,42101,44.059561,-121.32531,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,1988-05-01,Parts per million,2.108333,34.0
43,0002,42101,44.059561,-121.32531,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,1988-05-02,Parts per million,2.1875,44.0
44,0002,42101,44.059561,-121.32531,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,1988-05-03,Parts per million,2.070588,34.0
45,0002,42101,44.059561,-121.32531,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,1988-09-23,Parts per million,5.242857,62.0
46,0002,42101,44.059561,-121.32531,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,1988-09-24,Parts per million,2.308333,47.0
47,0002,42101,44.059561,-121.32531,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,1988-09-25,Parts per million,1.4375,31.0
48,0002,42101,44.059561,-121.32531,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,1988-09-26,Parts per million,2.1625,52.0
49,0002,42101,44.059561,-121.32531,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,1988-09-27,Parts per million,1.995833,33.0
50,0002,42101,44.059561,-121.32531,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,1988-09-28,Parts per million,2.541667,43.0
51,0002,42101,44.059561,-121.32531,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,1988-09-29,Parts per million,3.241667,64.0
52,0002,42101,44.059561,-121.32531,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,1988-09-30,Parts per million,3.18125,59.0
53,0002,42101,44.059561,-121.32531,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,1988-10-01,Parts per million,2.7,48.0
54,0002,42101,44.059561,-121.32531,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,1988-10-02,Parts per million,2.133333,38.0
55,0002,42101,44.059561,-121.32531,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,1988-10-03,Parts per million,3.095833,57.0
56,0002,42101,44.059561,-121.32531,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,1988-10-04,Parts per million,2.720833,50.0
57,0002,42101,44.059561,-121.32531,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,1988-10-05,Parts per million,2.8625,52.0
58,0002,42101,44.059561,-121.32531,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,1988-10-06,Parts per million,2.879167,52.0
59,0002,42101,44.059561,-121.32531,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,1988-10-07,Parts per million,3.7125,67.0
60,0002,42101,44.059561,-121.32531,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,1988-10-08,Parts per million,3.120833,64.0
61,0002,42101,44.059561,-121.32531,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,1988-10-09,Parts per million,2.208333,41.0
62,0002,42101,44.059561,-121.32531,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,1988-10-10,Parts per million,3.070833,55.0
63,0002,42101,44.059561,-121.32531,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,1988-10-11,Parts per million,2.729167,47.0
64,0002,42101,44.059561,-121.32531,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,1988-10-12,Parts per million,2.366667,44.0
65,0002,42101,44.059561,-121.32531,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,1988-10-13,Parts per million,2.183333,39.0
66,0002,42101,44.059561,-121.32531,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,1988-10-14,Parts per million,1.7,32.0
67,0002,42101,44.059561,-121.32531,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,1988-10-15,Parts per million,1.391667,26.0
68,0002,42101,44.059561,-121.32531,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,1988-10-16,Parts per million,1.05,20.0
69,0002,42101,44.059561,-121.32531,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,1988-10-17,Parts per million,2.795833,54.0
70,0002,42101,44.059561,-121.32531,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,1988-10-18,Parts per million,2.516667,44.0
71,0002,42101,44.059561,-121.32531,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,1988-10-19,Parts per million,2.525,41.0
72,0002,42101,44.059561,-121.32531,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,1988-10-20,Parts per million,2.575,50.0
73,0002,42101,44.059561,-121.32531,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,1988-10-21,Parts per million,2.291667,43.0
74,0002,42101,44.059561,-121.32531,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,1988-10-22,Parts per million,1.920833,35.0
75,0002,42101,44.059561,-121.32531,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,1988-10-23,Parts per million,2.2625,43.0
