,year,aqi
0,1983,25.0
1,1984,26.88888888888889
2,1985,21.580645161290324
3,1986,25.096774193548388
4,1987,25.580645161290324
5,1988,38.95384615384615
6,1989,29.339285714285715
7,1990,33.39344262295082
8,1991,31.517857142857142
9,1992,35.21818181818182
10,1993,32.127272727272725
11,1994,25.444444444444443
12,1995,26.410714285714285
13,1996,23.822580645161292
14,1997,26.857142857142858
15,1998,26.285714285714285
16,1999,34.521126760563384
17,2000,21.103448275862068
18,2001,22.28235294117647
19,2002,26.9375
20,2003,25.846153846153847
21,2004,18.146198830409357
22,2005,18.342391304347824
23,2006,27.12154696132597
24,2007,19.697802197802197
25,2008,26.309782608695652
26,2009,37.73076923076923
27,2010,37.119565217391305
28,2011,37.84239130434783
29,2012,62.85326086956522
30,2013,39.94021739130435
31,2014,40.20652173913044
32,2015,45.69021739130435
33,2016,24.65714285714286
34,2017,55.55978260869565
35,2018,37.15217391304348
36,2019,21.67391304347826
37,2020,46.40760869565217
38,2021,39.10326086956522
39,2022,32.79347826086956
40,2023,39.48913043478261
