,date_local,aqi,year
0,1983-05-07,17.0,1983
1,1983-05-12,19.0,1983
2,1983-05-18,16.0,1983
3,1983-05-24,31.0,1983
4,1983-05-30,19.0,1983
5,1983-06-05,9.0,1983
6,1983-06-11,29.0,1983
7,1983-06-17,51.0,1983
8,1983-07-05,17.0,1983
9,1983-07-11,18.0,1983
10,1983-07-17,15.0,1983
11,1983-07-23,20.0,1983
12,1983-07-29,22.0,1983
13,1983-08-10,27.0,1983
14,1983-08-16,30.0,1983
15,1983-08-22,23.0,1983
16,1983-08-28,13.0,1983
17,1983-09-03,9.0,1983
18,1983-09-09,22.0,1983
19,1983-09-15,46.0,1983
20,1983-09-21,48.0,1983
21,1983-09-27,23.0,1983
22,1983-10-03,22.0,1983
23,1983-10-09,19.0,1983
24,1983-10-15,35.0,1983
25,1983-10-21,44.0,1983
26,1983-10-27,31.0,1983
27,1984-05-06,20.0,1984
28,1984-05-12,13.0,1984
29,1984-05-18,32.0,1984
30,1984-05-24,20.0,1984
31,1984-05-30,32.0,1984
32,1984-06-05,12.0,1984
33,1984-06-11,17.0,1984
34,1984-06-17,18.0,1984
35,1984-07-02,14.0,1984
36,1984-07-05,25.0,1984
37,1984-07-11,33.0,1984
38,1984-07-17,34.0,1984
39,1984-07-24,17.0,1984
40,1984-07-31,32.0,1984
41,1984-08-04,27.0,1984
42,1984-08-10,37.0,1984
43,1984-08-16,31.0,1984
44,1984-08-22,51.0,1984
45,1984-08-28,47.0,1984
46,1984-09-03,20.0,1984
47,1984-09-09,11.0,1984
48,1984-09-15,23.0,1984
49,1984-09-21,22.0,1984
50,1984-09-27,30.0,1984
51,1984-10-03,39.0,1984
52,1984-10-09,19.0,1984
53,1984-10-15,50.0,1984
54,1985-05-01,35.0,1985
55,1985-05-07,21.0,1985
56,1985-05-13,22.0,1985
57,1985-05-19,18.0,1985
58,1985-05-25,19.0,1985
59,1985-06-01,16.0,1985
60,1985-06-06,16.0,1985
61,1985-06-12,22.0,1985
62,1985-06-18,34.0,1985
63,1985-06-24,19.0,1985
64,1985-06-30,14.0,1985
65,1985-07-06,19.0,1985
66,1985-07-12,23.0,1985
